64,4,wine,7008.488828833s,23.920859018s,0.2222222222222222,0.25
64,4,wine,7058.691202456s,24.311296767s,0.4444444444444444,0.9722222222222222
64,4,wine,7193.326895074s,24.712675031s,0,0.3888888888888889
64,4,wine,7104.845413322s,23.786731727s,0.3333333333333333,0.9722222222222222
64,4,wine,7172.203443188s,23.921543655s,0,0.4166666666666667
64,4,wine,7163.301845979s,23.620660276s,0.3055555555555556,1
64,4,wine,7064.8350397s,23.882215132s,0,0.4166666666666667
64,4,wine,7085.728091893s,23.431655876s,0.4722222222222222,0.9722222222222222
64,4,wine,7115.469152927s,23.960471639s,0.05555555555555555,0.4166666666666667
64,4,wine,7125.606403003s,23.559218771s,0.25,0.9722222222222222
64,4,wine,7062.99345327s,23.902633227s,0.027777777777777776,0.3611111111111111
64,4,wine,7076.684315958s,24.188077406s,0.3611111111111111,0.9166666666666666
64,4,wine,7155.101102229s,24.823749338s,0,0.3888888888888889
64,4,wine,7131.477496749s,23.730645561s,0.2777777777777778,1
